Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
2008–2010,380,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2008–2010,93,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2008–2010,57,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2008–2010,2011,Ingen tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2008–2010,3506,Ingen tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2008–2010,3094,Ingen tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2008–2010,3313,Ingen tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2008–2010,3300,Ingen tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2008–2010,6700,Ingen tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2008–2010,3947,Ingen tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2008–2010,2737,Ingen tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2008–2010,274,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2008–2010,682,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2008–2010,805,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2008–2010,1065,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2008–2010,1108,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2008–2010,2279,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2008–2010,1090,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2008–2010,755,Ingen tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2008–2010,19,Ingen tilbagefald,Videregående uddannelse,Mænd,15–19 år
2008–2010,596,Ingen tilbagefald,Videregående uddannelse,Mænd,20–24 år
2008–2010,1130,Ingen tilbagefald,Videregående uddannelse,Mænd,25–29 år
2008–2010,1571,Ingen tilbagefald,Videregående uddannelse,Mænd,30–34 år
2008–2010,1809,Ingen tilbagefald,Videregående uddannelse,Mænd,35–39 år
2008–2010,3403,Ingen tilbagefald,Videregående uddannelse,Mænd,40–49 år
2008–2010,2191,Ingen tilbagefald,Videregående uddannelse,Mænd,50–59 år
2008–2010,1506,Ingen tilbagefald,Videregående uddannelse,Mænd,60+ år
2008–2010,4,Ingen tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2008–2010,389,Ingen tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2008–2010,663,Ingen tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2008–2010,951,Ingen tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2008–2010,1171,Ingen tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2008–2010,2120,Ingen tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2008–2010,1176,Ingen tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2008–2010,621,Ingen tilbagefald,Videregående uddannelse,Kvinder,60+ år
2008–2010,96,Ingen tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2008–2010,359,Ingen tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2008–2010,440,Ingen tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2008–2010,393,Ingen tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2008–2010,365,Ingen tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2008–2010,715,Ingen tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2008–2010,368,Ingen tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2008–2010,259,Ingen tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2008–2010,35,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2008–2010,74,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2008–2010,101,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2008–2010,83,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2008–2010,76,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2008–2010,127,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2008–2010,72,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2008–2010,58,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2008–2010,1405,1 tilbagefald,Grundskole,Mænd,15–19 år
2008–2010,1205,1 tilbagefald,Grundskole,Mænd,20–24 år
2008–2010,861,1 tilbagefald,Grundskole,Mænd,25–29 år
2008–2010,737,1 tilbagefald,Grundskole,Mænd,30–34 år
2008–2010,651,1 tilbagefald,Grundskole,Mænd,35–39 år
2008–2010,1080,1 tilbagefald,Grundskole,Mænd,40–49 år
2008–2010,477,1 tilbagefald,Grundskole,Mænd,50–59 år
2008–2010,268,1 tilbagefald,Grundskole,Mænd,60+ år
2008–2010,165,1 tilbagefald,Grundskole,Kvinder,15–19 år
2008–2010,137,1 tilbagefald,Grundskole,Kvinder,20–24 år
2008–2010,103,1 tilbagefald,Grundskole,Kvinder,25–29 år
2008–2010,108,1 tilbagefald,Grundskole,Kvinder,30–34 år
2008–2010,100,1 tilbagefald,Grundskole,Kvinder,35–39 år
2008–2010,211,1 tilbagefald,Grundskole,Kvinder,40–49 år
2008–2010,80,1 tilbagefald,Grundskole,Kvinder,50–59 år
2008–2010,67,1 tilbagefald,Grundskole,Kvinder,60+ år
2008–2010,212,1 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2008–2010,196,1 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2008–2010,105,1 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2008–2010,115,1 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2008–2010,123,1 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2008–2010,169,1 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2008–2010,77,1 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2008–2010,20,1 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2008–2010,38,1 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2008–2010,37,1 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2008–2010,19,1 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2008–2010,20,1 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2008–2010,28,1 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2008–2010,47,1 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2008–2010,11,1 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2008–2010,0,1 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2008–2010,753,1 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2008–2010,1063,1 tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2008–2010,751,1 tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2008–2010,804,1 tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2008–2010,710,1 tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2008–2010,1288,1 tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2008–2010,574,1 tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2008–2010,263,1 tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2008–2010,41,1 tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2008–2010,75,1 tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2008–2010,93,1 tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2008–2010,117,1 tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2008–2010,138,1 tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2008–2010,250,1 tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2008–2010,80,1 tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2008–2010,38,1 tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2008–2010,3,1 tilbagefald,Videregående uddannelse,Mænd,15–19 år
2008–2010,102,1 tilbagefald,Videregående uddannelse,Mænd,20–24 år
2008–2010,169,1 tilbagefald,Videregående uddannelse,Mænd,25–29 år
2008–2010,223,1 tilbagefald,Videregående uddannelse,Mænd,30–34 år
2008–2010,284,1 tilbagefald,Videregående uddannelse,Mænd,35–39 år
2008–2010,611,1 tilbagefald,Videregående uddannelse,Mænd,40–49 år
2008–2010,338,1 tilbagefald,Videregående uddannelse,Mænd,50–59 år
2008–2010,149,1 tilbagefald,Videregående uddannelse,Mænd,60+ år
2008–2010,0,1 tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2008–2010,29,1 tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2008–2010,58,1 tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2008–2010,102,1 tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2008–2010,116,1 tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2008–2010,206,1 tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2008–2010,95,1 tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2008–2010,44,1 tilbagefald,Videregående uddannelse,Kvinder,60+ år
2008–2010,40,1 tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2008–2010,130,1 tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2008–2010,125,1 tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2008–2010,98,1 tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2008–2010,92,1 tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2008–2010,177,1 tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2008–2010,69,1 tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2008–2010,27,1 tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2008–2010,6,1 tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2008–2010,11,1 tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2008–2010,7,1 tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2008–2010,6,1 tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2008–2010,10,1 tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2008–2010,16,1 tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2008–2010,12,1 tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2008–2010,5,1 tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2008–2010,717,2 tilbagefald,Grundskole,Mænd,15–19 år
2008–2010,657,2 tilbagefald,Grundskole,Mænd,20–24 år
2008–2010,443,2 tilbagefald,Grundskole,Mænd,25–29 år
2008–2010,360,2 tilbagefald,Grundskole,Mænd,30–34 år
2008–2010,262,2 tilbagefald,Grundskole,Mænd,35–39 år
2008–2010,447,2 tilbagefald,Grundskole,Mænd,40–49 år
2008–2010,139,2 tilbagefald,Grundskole,Mænd,50–59 år
2008–2010,67,2 tilbagefald,Grundskole,Mænd,60+ år
2008–2010,60,2 tilbagefald,Grundskole,Kvinder,15–19 år
2008–2010,57,2 tilbagefald,Grundskole,Kvinder,20–24 år
2008–2010,37,2 tilbagefald,Grundskole,Kvinder,25–29 år
2008–2010,27,2 tilbagefald,Grundskole,Kvinder,30–34 år
2008–2010,44,2 tilbagefald,Grundskole,Kvinder,35–39 år
2008–2010,70,2 tilbagefald,Grundskole,Kvinder,40–49 år
2008–2010,25,2 tilbagefald,Grundskole,Kvinder,50–59 år
2008–2010,14,2 tilbagefald,Grundskole,Kvinder,60+ år
2008–2010,78,2 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2008–2010,69,2 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2008–2010,37,2 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2008–2010,34,2 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2008–2010,38,2 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2008–2010,43,2 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2008–2010,11,2 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2008–2010,7,2 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2008–2010,6,2 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2008–2010,5,2 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2008–2010,3,2 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2008–2010,7,2 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2008–2010,5,2 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2008–2010,4,2 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2008–2010,4,2 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2008–2010,1,2 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2008–2010,331,2 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2008–2010,423,2 tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2008–2010,261,2 tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2008–2010,244,2 tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2008–2010,234,2 tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2008–2010,359,2 tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2008–2010,132,2 tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2008–2010,56,2 tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2008–2010,15,2 tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2008–2010,14,2 tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2008–2010,16,2 tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2008–2010,15,2 tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2008–2010,22,2 tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2008–2010,43,2 tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2008–2010,8,2 tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2008–2010,10,2 tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2008–2010,0,2 tilbagefald,Videregående uddannelse,Mænd,15–19 år
2008–2010,25,2 tilbagefald,Videregående uddannelse,Mænd,20–24 år
2008–2010,56,2 tilbagefald,Videregående uddannelse,Mænd,25–29 år
2008–2010,45,2 tilbagefald,Videregående uddannelse,Mænd,30–34 år
2008–2010,54,2 tilbagefald,Videregående uddannelse,Mænd,35–39 år
2008–2010,110,2 tilbagefald,Videregående uddannelse,Mænd,40–49 år
2008–2010,53,2 tilbagefald,Videregående uddannelse,Mænd,50–59 år
2008–2010,25,2 tilbagefald,Videregående uddannelse,Mænd,60+ år
2008–2010,0,2 tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2008–2010,3,2 tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2008–2010,6,2 tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2008–2010,11,2 tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2008–2010,15,2 tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2008–2010,31,2 tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2008–2010,14,2 tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2008–2010,5,2 tilbagefald,Videregående uddannelse,Kvinder,60+ år
2008–2010,34,2 tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2008–2010,70,2 tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2008–2010,57,2 tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2008–2010,51,2 tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2008–2010,44,2 tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2008–2010,68,2 tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2008–2010,25,2 tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2008–2010,5,2 tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2008–2010,2,2 tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2008–2010,5,2 tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2008–2010,3,2 tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2008–2010,2,2 tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2008–2010,3,2 tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2008–2010,4,2 tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2008–2010,1,2 tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2008–2010,0,2 tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2008–2010,439,3 tilbagefald,Grundskole,Mænd,15–19 år
2008–2010,407,3 tilbagefald,Grundskole,Mænd,20–24 år
2008–2010,248,3 tilbagefald,Grundskole,Mænd,25–29 år
2008–2010,204,3 tilbagefald,Grundskole,Mænd,30–34 år
2008–2010,162,3 tilbagefald,Grundskole,Mænd,35–39 år
2008–2010,199,3 tilbagefald,Grundskole,Mænd,40–49 år
2008–2010,61,3 tilbagefald,Grundskole,Mænd,50–59 år
2008–2010,25,3 tilbagefald,Grundskole,Mænd,60+ år
2008–2010,34,3 tilbagefald,Grundskole,Kvinder,15–19 år
2008–2010,26,3 tilbagefald,Grundskole,Kvinder,20–24 år
2008–2010,18,3 tilbagefald,Grundskole,Kvinder,25–29 år
2008–2010,25,3 tilbagefald,Grundskole,Kvinder,30–34 år
2008–2010,21,3 tilbagefald,Grundskole,Kvinder,35–39 år
2008–2010,36,3 tilbagefald,Grundskole,Kvinder,40–49 år
2008–2010,9,3 tilbagefald,Grundskole,Kvinder,50–59 år
2008–2010,8,3 tilbagefald,Grundskole,Kvinder,60+ år
2008–2010,37,3 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2008–2010,29,3 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2008–2010,15,3 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2008–2010,11,3 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2008–2010,11,3 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2008–2010,18,3 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2008–2010,2,3 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2008–2010,1,3 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2008–2010,2,3 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2008–2010,5,3 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2008–2010,0,3 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2008–2010,1,3 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2008–2010,1,3 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2008–2010,3,3 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2008–2010,0,3 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2008–2010,0,3 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2008–2010,176,3 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2008–2010,212,3 tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2008–2010,132,3 tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2008–2010,117,3 tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2008–2010,101,3 tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2008–2010,155,3 tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2008–2010,51,3 tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2008–2010,20,3 tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2008–2010,3,3 tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2008–2010,7,3 tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2008–2010,4,3 tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2008–2010,6,3 tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2008–2010,10,3 tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2008–2010,8,3 tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2008–2010,9,3 tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2008–2010,2,3 tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2008–2010,0,3 tilbagefald,Videregående uddannelse,Mænd,15–19 år
2008–2010,12,3 tilbagefald,Videregående uddannelse,Mænd,20–24 år
2008–2010,12,3 tilbagefald,Videregående uddannelse,Mænd,25–29 år
2008–2010,13,3 tilbagefald,Videregående uddannelse,Mænd,30–34 år
2008–2010,16,3 tilbagefald,Videregående uddannelse,Mænd,35–39 år
2008–2010,44,3 tilbagefald,Videregående uddannelse,Mænd,40–49 år
2008–2010,17,3 tilbagefald,Videregående uddannelse,Mænd,50–59 år
2008–2010,9,3 tilbagefald,Videregående uddannelse,Mænd,60+ år
2008–2010,0,3 tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2008–2010,2,3 tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2008–2010,3,3 tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2008–2010,2,3 tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2008–2010,4,3 tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2008–2010,8,3 tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2008–2010,4,3 tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2008–2010,4,3 tilbagefald,Videregående uddannelse,Kvinder,60+ år
2008–2010,19,3 tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2008–2010,43,3 tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2008–2010,25,3 tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2008–2010,23,3 tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2008–2010,29,3 tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2008–2010,28,3 tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2008–2010,14,3 tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2008–2010,4,3 tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2008–2010,1,3 tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2008–2010,2,3 tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2008–2010,1,3 tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2008–2010,1,3 tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2008–2010,2,3 tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2008–2010,6,3 tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2008–2010,1,3 tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2008–2010,0,3 tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2008–2010,1024,4-9 tilbagefald,Grundskole,Mænd,15–19 år
2008–2010,938,4-9 tilbagefald,Grundskole,Mænd,20–24 år
2008–2010,531,4-9 tilbagefald,Grundskole,Mænd,25–29 år
2008–2010,424,4-9 tilbagefald,Grundskole,Mænd,30–34 år
2008–2010,274,4-9 tilbagefald,Grundskole,Mænd,35–39 år
2008–2010,334,4-9 tilbagefald,Grundskole,Mænd,40–49 år
2008–2010,76,4-9 tilbagefald,Grundskole,Mænd,50–59 år
2008–2010,26,4-9 tilbagefald,Grundskole,Mænd,60+ år
2008–2010,50,4-9 tilbagefald,Grundskole,Kvinder,15–19 år
2008–2010,39,4-9 tilbagefald,Grundskole,Kvinder,20–24 år
2008–2010,30,4-9 tilbagefald,Grundskole,Kvinder,25–29 år
2008–2010,34,4-9 tilbagefald,Grundskole,Kvinder,30–34 år
2008–2010,27,4-9 tilbagefald,Grundskole,Kvinder,35–39 år
2008–2010,56,4-9 tilbagefald,Grundskole,Kvinder,40–49 år
2008–2010,7,4-9 tilbagefald,Grundskole,Kvinder,50–59 år
2008–2010,5,4-9 tilbagefald,Grundskole,Kvinder,60+ år
2008–2010,48,4-9 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2008–2010,45,4-9 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2008–2010,16,4-9 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2008–2010,21,4-9 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2008–2010,20,4-9 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2008–2010,17,4-9 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2008–2010,5,4-9 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2008–2010,2,4-9 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2008–2010,3,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2008–2010,3,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2008–2010,3,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2008–2010,3,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2008–2010,2,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2008–2010,4,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2008–2010,1,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2008–2010,0,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2008–2010,352,4-9 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
