Periode,Antal,Recidivhændelser,Tidligere_domme,Varighed_til_tilbagefald,Køn,Alder
2009–2011,385,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,437,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,574,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,1130,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,520,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,285,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,60+ år
2009–2011,1070,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,884,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,873,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,853,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,1608,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,770,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,394,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,102,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,92,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,103,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,102,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,310,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,134,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,51,Ingen tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,580,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,486,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,423,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,377,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,724,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,311,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,153,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,30,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,35,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,30,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,36,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,82,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,31,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,18,Ingen tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,327,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,287,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,214,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,179,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,314,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,109,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,38,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,19,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,11,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,15,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,20,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,31,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,16,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,8,Ingen tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,506,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,377,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,275,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,218,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,285,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,107,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,37,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,10,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,17,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,15,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,17,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,38,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,16,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,11,Ingen tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,43,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,23,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,26,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,16,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,19,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,5,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,4,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,1,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,1,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,1,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,1,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,4,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,Ingen tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,1 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,1 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,1 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,1 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,1 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,1 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,1 tilbagefald,10 eller flere tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,2 tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,2 tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,2 tilbagefald,2 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,2 tilbagefald,3 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,0,2 tilbagefald,4 Tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,0,2 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,0,2 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,0,2 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,0,2 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,0,2 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,0,2 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,0,2 tilbagefald,5-9 Tidligere domme,Ingen tilbagefald,Mænd,60+ år
