OMRÅDE,KØN,ALDER,HERKOMST1,TID,INDHOLD
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2013,11503
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2014,12371
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2015,11209
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2016,9700
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2017,8557
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2018,8124
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2019,9131
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2020,10139
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2021,9638
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2022,9332
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2023,8906
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2005,4136
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2006,4251
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2007,3427
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2008,3522
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2009,3932
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2010,4220
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2011,4360
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2012,4633
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2013,4538
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2014,4934
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2015,4791
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2016,4398
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2017,4700
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2018,4893
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2019,5757
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2020,6685
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2021,6916
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2022,6668
Region Hovedstaden,Mænd,30-49 år,Personer med udenlandsk oprindelse,2023,7129
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2005,6542
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2006,5579
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2007,4634
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2008,4745
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2009,5212
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2010,6008
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2011,6277
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2012,6601
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2013,6745
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2014,7547
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2015,7367
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2016,7316
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2017,6530
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2018,6364
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2019,7331
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2020,8006
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2021,7981
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2022,8223
Region Hovedstaden,Mænd,50-79 år,Personer med dansk oprindelse,2023,7968
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2005,986
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2006,1004
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2007,879
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2008,835
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2009,965
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2010,1139
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2011,1202
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2012,1366
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2013,1374
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2014,1651
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2015,1626
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2016,1616
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2017,1718
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2018,1767
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2019,2027
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2020,2291
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2021,2395
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2022,2431
Region Hovedstaden,Mænd,50-79 år,Personer med udenlandsk oprindelse,2023,2642
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2005,2061
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2006,1841
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2007,1628
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2008,1745
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2009,1821
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2010,1856
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2011,1903
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2012,1938
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2013,1910
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2014,2080
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2015,1967
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2016,1734
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2017,1590
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2018,1709
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2019,2031
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2020,2365
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2021,2714
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2022,2197
Region Hovedstaden,Kvinder,15-29 år,Personer med dansk oprindelse,2023,2044
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2005,614
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2006,687
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2007,522
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2008,523
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2009,742
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2010,733
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2011,702
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2012,773
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2013,797
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2014,873
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2015,909
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2016,804
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2017,766
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2018,922
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2019,1106
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2020,1400
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2021,1657
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2022,1334
Region Hovedstaden,Kvinder,15-29 år,Personer med udenlandsk oprindelse,2023,1312
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2005,4627
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2006,3901
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2007,3144
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2008,3261
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2009,3611
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2010,3917
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2011,3908
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2012,3949
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2013,3757
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2014,4067
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2015,3889
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2016,3225
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2017,2676
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2018,2513
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2019,2828
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2020,3256
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2021,3330
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2022,3257
Region Hovedstaden,Kvinder,30-49 år,Personer med dansk oprindelse,2023,3035
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2005,839
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2006,859
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2007,658
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2008,705
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2009,803
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2010,930
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2011,982
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2012,1095
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2013,1082
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2014,1221
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2015,1275
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2016,1157
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2017,1225
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2018,1261
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2019,1472
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2020,1807
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2021,1917
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2022,1966
Region Hovedstaden,Kvinder,30-49 år,Personer med udenlandsk oprindelse,2023,2003
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2005,2131
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2006,1837
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2007,1488
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2008,1595
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2009,1727
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2010,2144
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2011,2278
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2012,2431
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2013,2468
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2014,2933
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2015,2961
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2016,2721
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2017,2525
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2018,2432
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2019,2709
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2020,3023
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2021,3150
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2022,3230
Region Hovedstaden,Kvinder,50-79 år,Personer med dansk oprindelse,2023,3010
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2005,250
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2006,212
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2007,202
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2008,190
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2009,248
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2010,270
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2011,299
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2012,313
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2013,356
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2014,423
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2015,407
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2016,407
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2017,399
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2018,420
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2019,474
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2020,595
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2021,658
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2022,720
Region Hovedstaden,Kvinder,50-79 år,Personer med udenlandsk oprindelse,2023,732
København,Mænd,15-29 år,Personer med dansk oprindelse,2005,4092
København,Mænd,15-29 år,Personer med dansk oprindelse,2006,3880
København,Mænd,15-29 år,Personer med dansk oprindelse,2007,3279
København,Mænd,15-29 år,Personer med dansk oprindelse,2008,3216
København,Mænd,15-29 år,Personer med dansk oprindelse,2009,3288
København,Mænd,15-29 år,Personer med dansk oprindelse,2010,3064
København,Mænd,15-29 år,Personer med dansk oprindelse,2011,3173
København,Mænd,15-29 år,Personer med dansk oprindelse,2012,3535
København,Mænd,15-29 år,Personer med dansk oprindelse,2013,3415
København,Mænd,15-29 år,Personer med dansk oprindelse,2014,3581
København,Mænd,15-29 år,Personer med dansk oprindelse,2015,3115
København,Mænd,15-29 år,Personer med dansk oprindelse,2016,2921
København,Mænd,15-29 år,Personer med dansk oprindelse,2017,2757
København,Mænd,15-29 år,Personer med dansk oprindelse,2018,2863
København,Mænd,15-29 år,Personer med dansk oprindelse,2019,3503
København,Mænd,15-29 år,Personer med dansk oprindelse,2020,3381
København,Mænd,15-29 år,Personer med dansk oprindelse,2021,3273
København,Mænd,15-29 år,Personer med dansk oprindelse,2022,3043
København,Mænd,15-29 år,Personer med dansk oprindelse,2023,3076
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2005,1631
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2006,1765
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2007,1416
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2008,1497
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2009,1674
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2010,1808
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2011,1733
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2012,2048
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2013,1966
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2014,2033
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2015,1924
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2016,1908
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2017,1968
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2018,1993
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2019,2220
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2020,2394
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2021,2385
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2022,2127
København,Mænd,15-29 år,Personer med udenlandsk oprindelse,2023,2125
København,Mænd,30-49 år,Personer med dansk oprindelse,2005,5025
København,Mænd,30-49 år,Personer med dansk oprindelse,2006,4766
København,Mænd,30-49 år,Personer med dansk oprindelse,2007,3696
København,Mænd,30-49 år,Personer med dansk oprindelse,2008,3742
København,Mænd,30-49 år,Personer med dansk oprindelse,2009,3840
København,Mænd,30-49 år,Personer med dansk oprindelse,2010,3820
København,Mænd,30-49 år,Personer med dansk oprindelse,2011,3713
København,Mænd,30-49 år,Personer med dansk oprindelse,2012,3963
København,Mænd,30-49 år,Personer med dansk oprindelse,2013,3734
København,Mænd,30-49 år,Personer med dansk oprindelse,2014,3958
København,Mænd,30-49 år,Personer med dansk oprindelse,2015,3845
København,Mænd,30-49 år,Personer med dansk oprindelse,2016,3258
København,Mænd,30-49 år,Personer med dansk oprindelse,2017,2832
København,Mænd,30-49 år,Personer med dansk oprindelse,2018,2750
København,Mænd,30-49 år,Personer med dansk oprindelse,2019,3126
København,Mænd,30-49 år,Personer med dansk oprindelse,2020,3676
København,Mænd,30-49 år,Personer med dansk oprindelse,2021,3562
København,Mænd,30-49 år,Personer med dansk oprindelse,2022,3247
København,Mænd,30-49 år,Personer med dansk oprindelse,2023,2979
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2005,1926
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2006,1975
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2007,1570
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2008,1631
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2009,1782
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2010,1808
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2011,1821
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2012,1907
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2013,1887
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2014,1993
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2015,1922
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2016,1737
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2017,1800
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2018,1849
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2019,2175
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2020,2451
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2021,2574
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2022,2403
København,Mænd,30-49 år,Personer med udenlandsk oprindelse,2023,2533
København,Mænd,50-79 år,Personer med dansk oprindelse,2005,1392
København,Mænd,50-79 år,Personer med dansk oprindelse,2006,1281
København,Mænd,50-79 år,Personer med dansk oprindelse,2007,1039
København,Mænd,50-79 år,Personer med dansk oprindelse,2008,1088
København,Mænd,50-79 år,Personer med dansk oprindelse,2009,1090
København,Mænd,50-79 år,Personer med dansk oprindelse,2010,1236
København,Mænd,50-79 år,Personer med dansk oprindelse,2011,1241
København,Mænd,50-79 år,Personer med dansk oprindelse,2012,1309
København,Mænd,50-79 år,Personer med dansk oprindelse,2013,1386
København,Mænd,50-79 år,Personer med dansk oprindelse,2014,1492
København,Mænd,50-79 år,Personer med dansk oprindelse,2015,1624
København,Mænd,50-79 år,Personer med dansk oprindelse,2016,1599
København,Mænd,50-79 år,Personer med dansk oprindelse,2017,1437
København,Mænd,50-79 år,Personer med dansk oprindelse,2018,1402
København,Mænd,50-79 år,Personer med dansk oprindelse,2019,1661
København,Mænd,50-79 år,Personer med dansk oprindelse,2020,1967
København,Mænd,50-79 år,Personer med dansk oprindelse,2021,2097
København,Mænd,50-79 år,Personer med dansk oprindelse,2022,2079
København,Mænd,50-79 år,Personer med dansk oprindelse,2023,2070
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2005,369
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2006,404
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2007,352
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2008,320
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2009,387
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2010,426
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2011,427
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2012,506
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2013,523
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2014,613
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2015,646
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2016,631
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2017,634
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2018,619
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2019,770
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2020,913
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2021,953
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2022,916
København,Mænd,50-79 år,Personer med udenlandsk oprindelse,2023,970
København,Kvinder,15-29 år,Personer med dansk oprindelse,2005,834
København,Kvinder,15-29 år,Personer med dansk oprindelse,2006,720
København,Kvinder,15-29 år,Personer med dansk oprindelse,2007,657
København,Kvinder,15-29 år,Personer med dansk oprindelse,2008,690
København,Kvinder,15-29 år,Personer med dansk oprindelse,2009,735
København,Kvinder,15-29 år,Personer med dansk oprindelse,2010,712
København,Kvinder,15-29 år,Personer med dansk oprindelse,2011,732
København,Kvinder,15-29 år,Personer med dansk oprindelse,2012,721
København,Kvinder,15-29 år,Personer med dansk oprindelse,2013,692
København,Kvinder,15-29 år,Personer med dansk oprindelse,2014,790
København,Kvinder,15-29 år,Personer med dansk oprindelse,2015,789
København,Kvinder,15-29 år,Personer med dansk oprindelse,2016,674
København,Kvinder,15-29 år,Personer med dansk oprindelse,2017,591
København,Kvinder,15-29 år,Personer med dansk oprindelse,2018,616
København,Kvinder,15-29 år,Personer med dansk oprindelse,2019,791
København,Kvinder,15-29 år,Personer med dansk oprindelse,2020,997
København,Kvinder,15-29 år,Personer med dansk oprindelse,2021,1249
København,Kvinder,15-29 år,Personer med dansk oprindelse,2022,873
